,Event.Id,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Report.Status,Year,Manufacturer,Total.Passengers,Percentage.Seriously.Injured.or.Killed,Percentage.Uninjured
68769,20100901X01739,DCA10FA090,2010-08-17,"Dulles, VA",United States,Non-Fatal,,Boeing,767,2.0,Turbo Fan,,0.0,0.0,1.0,193.0,VMC,an in-flight encounter with turbulence that resulted in an injury to a cabin attendant.,2010,Boeing,194.0,0.0,99.48453608247422
68831,20100827X20401,WPR10IA430,2010-08-26,"Sacramento, CA",United States,Non-Fatal,Minor,Airbus,A320-232,2.0,Turbo Fan,,0.0,7.0,0.0,84.0,VMC,"The first officers inadvertent activation of the parking brake in flight, which led to the airplane abruptly stopping and all four of its main landing gear tires deflating, and his use of a nonstandard procedure to cancel the airplane's monitoring alert system.",2010,Airbus,91.0,7.6923076923076925,92.3076923076923
68900,20100908X20427,OPS10IA538,2010-09-04,"Los Angeles, CA",United States,Non-Fatal,,Boeing,737-7H4,2.0,Turbo Fan,,0.0,0.0,0.0,133.0,VMC,Failure of the air traffic controller to exercise positive control of the situation by issuing clear and timely control instructions to the helicopter pilot.  Contributing to the incident was delay by the helicopter pilot in responding to instructions issued by the controller.,2010,Boeing,133.0,0.0,100.0
68963,20100916X50512,OPS10IA574,2010-09-16,"Minneapolis, MN",United States,Non-Fatal,,Airbus Industrie,A320-214,2.0,Turbo Fan,,0.0,0.0,0.0,190.0,IMC,The Local North Controller's issuance of a left-turn heading to the Airbus without establishing the position and heading of the Beech. Contributing to the incident was the Local South Controller's distraction with a ground movement operation and lack of awareness of the Beech's heading and the impending conflict. Also contributing to the incident was the Beech's delayed turn to the assigned departure heading.,2010,Airbus,190.0,0.0,100.0
69040,20100930X00358,ENG10IA055,2010-09-28,"Milwaukee, WI",United States,Non-Fatal,Minor,Bombardier,CL600 2B19,2.0,Turbo Jet,,0.0,0.0,0.0,39.0,VMC,The failure of the left main landing gear (MLG) to extend normally and manually for reasons that could not be conclusively determined.,2010,Bombardier,39.0,0.0,100.0
69055,20101004X11133,ERA11IA006,2010-10-01,"Teterboro, NJ",United States,Non-Fatal,Minor,Gulfstream Aerospace,G-IV,2.0,Turbo Fan,Executive/corporate,0.0,0.0,0.0,11.0,IMC,"The pilot-in-command's failure to attain the proper touchdown point while landing with a gusting crosswind and failure to initiate a go-around, which resulted in a landing more than halfway down the runway and a subsequent runway overrun. Contributing to the incident was the failure of either pilot to call for a go-around when the airplane was at Vref plus 15 at 50 feet above the runway or once they had floated well beyond the touchdown zone of the runway.",2010,Gulfstream,11.0,0.0,100.0
69078,20101006X00507,ERA11CA010,2010-10-04,"New York, NY",United States,Non-Fatal,,Bombardier Inc,CL-600-2B19,2.0,Turbo Fan,,0.0,0.0,1.0,52.0,VMC,The passenger's loss of balance while deplaning.,2010,Bombardier,53.0,0.0,98.11320754716981
69139,20101019X33258,WPR11IA019,2010-10-18,"Phoenix, AZ",United States,Non-Fatal,Minor,Bombardier Inc,CL-600-2B19,2.0,Turbo Fan,,0.0,0.0,0.0,53.0,VMC,The overextension of the main cabin door due to difficulty opening the door because the power-assist motor cable was lodged within the main cabin door assembly.,2010,Bombardier,53.0,0.0,100.0
69172,20101027X04916,DCA11FA004,2010-10-27,"Miami, FL",United States,Non-Fatal,Substantial,Boeing,757-223,2.0,Turbo Fan,,0.0,0.0,0.0,160.0,,Fatigue failure of the fuselage crown skin due to incorrect manufacturing of the crown skin panel that resulted in a skin thickness less than the manufacturer-specified thickness.,2010,Boeing,160.0,0.0,100.0
69183,20101031X30917,ERA11LA044,2010-10-29,"Fort Lauderdale, FL",United States,Non-Fatal,Substantial,Boeing,737,2.0,Turbo Fan,,0.0,0.0,0.0,142.0,VMC,"The ground service vehicle driver's depressing of the accelerator rather than the brake pedal, resulting in a collision with the airplane.",2010,Boeing,142.0,0.0,100.0
69201,20101103X34855,ERA11CA046,2010-11-02,"Pittsburgh, PA",United States,Non-Fatal,Substantial,Bombardier Inc,CL-600-2B19,2.0,Turbo Fan,,0.0,0.0,0.0,41.0,VMC,The ground crews failure to detach the air-starter hose from the airplane before moving the cart away resulting in structural damage to a skin panel.,2010,Bombardier,41.0,0.0,100.0
69202,20101103X44221,CEN11LA051,2010-11-02,"Chicago, IL",United States,Non-Fatal,Substantial,Bombardier Inc,CL-600-2B19,2.0,Turbo Fan,,0.0,0.0,0.0,37.0,VMC,"The pickup truck drivers failure to follow airport and company policies regarding ground vehicle operations, which allowed for the unattended truck to collide with the airplane. Contributing to the accident were the truck's misadjusted shift lever and disconnected parking brake.",2010,Bombardier,37.0,0.0,100.0
69224,20101108X84714,WPR11LA042,2010-11-08,"Los Angeles, CA",United States,Non-Fatal,Substantial,Bombardier Inc,DHC-8-402,2.0,Turbo Prop,,0.0,0.0,0.0,77.0,VMC,An in-flight collision with a bird.,2010,Bombardier,77.0,0.0,100.0
69253,20101116X51712,CEN11LA072,2010-11-15,"Minneapolis, MN",United States,Non-Fatal,Substantial,Embraer,ERJ 170-200 LR,2.0,Turbo Fan,,0.0,0.0,0.0,80.0,VMC,The in-flight collision with a flock of birds during climb.,2010,Embraer,80.0,0.0,100.0
69276,20101203X60119,CEN11LA092,2010-11-23,"Madison, WI",United States,Non-Fatal,,Embraer,EMB-145LR,2.0,Turbo Fan,,0.0,0.0,1.0,48.0,VMC,The passenger's decision to deplane without assistance despite having a preexisting condition that limited her mobility.,2010,Embraer,49.0,0.0,97.95918367346938
69278,20101124X20432,WPR11LA058,2010-11-24,"Salt Lake City, UT",United States,Non-Fatal,Substantial,Bombardier Inc,CL-600-2C10,2.0,Turbo Fan,,0.0,0.0,0.0,69.0,IMC,The tug drivers loss of airplane control during pushback due to a loss of traction in slippery conditions on the ramp. Contributing to the accident was the ground crews and airline operators inadequate guidance with regard to pushback procedures during low ground traction conditions with an inoperative airplane auxiliary power unit.,2010,Bombardier,69.0,0.0,100.0
69295,20101130X64248,CEN11LA085,2010-11-30,"Milwaukee, WI",United States,Non-Fatal,,Embraer,EMB-135LR,2.0,Turbo Fan,,0.0,9.0,1.0,19.0,IMC,"An in-flight encounter with turbulence during cruise flight, which resulted in a serious injury to a flight attendant.",2010,Embraer,29.0,31.03448275862069,65.51724137931035
69317,20101208X40921,CEN11LA099,2010-12-05,"Chicago, IL",United States,Non-Fatal,Substantial,Bombardier Inc,CL-600-2C10,2.0,Turbo Fan,,0.0,0.0,0.0,37.0,VMC,The Boeing 747 first officers failure to maintain clearance from another airplane while taxiing due to his inadequate judgment of the distance between the airplanes.,2010,Bombardier,37.0,0.0,100.0
69330,20101210X92343,OPS11IA173,2010-12-09,"Covington, KY",United States,Non-Fatal,,Boeing,737-832,2.0,Turbo Jet,,0.0,0.0,0.0,92.0,VMC,The local controller's distraction with a helicopter south of the field.,2010,Boeing,92.0,0.0,100.0
69357,20101220X14621,DCA11CA014,2010-12-18,"Philadelphia, PA",United States,Non-Fatal,Substantial,Boeing,737-7H4,2.0,Turbo Fan,,0.0,0.0,0.0,222.0,VMC,the failure of the ground operations personnel to maintain awareness of the relative position of the two airplanes.,2010,Boeing,222.0,0.0,100.0
69385,20110105X33913,ENG11IA011,2010-12-25,"San Francisco, CA",United States,Non-Fatal,,Boeing,737,2.0,Turbo Fan,,0.0,0.0,0.0,122.0,,"The probable cause of the undercowl in-flight engine fire was the insufficient installation torque of the bolts that secure the fuel manifold cover to the fuel manifold.  Engine vibrations and fuel pressure cycles caused the bolts to gradually loosen further until one bolt lost all its tightening torque and fell out. The internal fuel pressure then forced open the fuel manifold cover at the location of the missing bolt, causing a gap between the two mating surfaces which allowed fuel to push past the integral packing, resulting in a fuel leak onto the hot engine cases where it ignited resulting in a fire.",2010,Boeing,122.0,0.0,100.0
69391,20101229X22154,DCA11IA015,2010-12-29,"Jackson Hole, WY",United States,Non-Fatal,,Boeing,757-223,2.0,Turbo Fan,,0.0,0.0,0.0,185.0,IMC,"a manufacturing defect in a clutch mechanism that prevented the speedbrakes from automatically deploying after touchdown, and the captains failure to monitor and extend the speedbrakes manually. Also causal was the failure of the thrust reversers to deploy when initially commanded. Contributing to the incident was the captains failure to confirm speedbrake extension before announcing their deployment, and his distraction caused by the thrust reversers failure to initially deploy after landing.",2010,Boeing,185.0,0.0,100.0
69412,20110502X93814,DCA11FA050,2011-01-03,"Los Angeles, CA",United States,Non-Fatal,Substantial,Boeing,737-823,2.0,Turbo Fan,,0.0,0.0,0.0,165.0,VMC,"the early rotation of the airplane to an angle at which the fuselage contacted the runway.  

Contributing to early rotation was the Captains reaction to the erroneous V1 automated callout, likely assuming that the airplane was at or close to the correct Vr at the same time.  

The erroneous automated callout was likely due to a keystroke entry error by the FO when manually entering takeoff data for a newly assigned departure runway.",2011,Boeing,165.0,0.0,100.0
69514,20110207X84026,OPS11IA271,2011-02-01,"Dayton, OH",United States,Non-Fatal,Minor,Embraer,EMB-145LR,2.0,Turbo Fan,,0.0,0.0,0.0,32.0,VMC,"The pilots' lack of consideration for developing and known weather conditions en route to and at the destination airport, resulting in a runway excursion and subsequent incursion.",2011,Embraer,32.0,0.0,100.0
69547,20110218X13630,WPR11LA139,2011-02-10,"Ni'ihau, HI",United States,Non-Fatal,,Boeing,767-300,2.0,Turbo Jet,,0.0,6.0,1.0,243.0,VMC,An encounter with unanticipated convectively induced windshear and turbulence during descent.,2011,Boeing,250.0,2.4,97.2
69588,20110219X32035,ERA11CA152,2011-02-19,"North Fayston, VT",United States,Non-Fatal,,Airbus,A320-232,2.0,Turbo Fan,,0.0,1.0,1.0,117.0,VMC,"The airplane's inadvertent encounter with turbulence during the approach, which resulted in serious injury to a flight attendant.",2011,Airbus,119.0,0.8403361344537815,98.31932773109243
69592,20110222X20316,CEN11IA198,2011-02-21,"Southlake, TX",United States,Non-Fatal,Minor,Boeing,737-823,2.0,Turbo Fan,,0.0,0.0,0.0,145.0,VMC,The tractor drivers failure to confirm that the tow bar head/handle was secured correctly to the airplane.,2011,Boeing,145.0,0.0,100.0
69611,20110329X33129,DCA11CA036,2011-02-25,"New York, NY",United States,Non-Fatal,,Embraer,ERJ 190-100 IGW,2.0,Turbo Fan,,0.0,0.0,1.0,92.0,VMC,Improper latching of the aft galley cart prior to landing.,2011,Embraer,93.0,0.0,98.9247311827957
69630,20110228X54428,WPR11LA149,2011-02-28,"Naches, WA",United States,Non-Fatal,,Boeing,757-232,2.0,Turbo Fan,,0.0,1.0,1.0,188.0,VMC,"The airplane's encounter with moderate turbulence at a higher altitude than the flight crew expected, resulting in an injury to a cabin crewmember.",2011,Boeing,190.0,0.5263157894736842,98.94736842105263
69675,20110324X53002,OPS11IA410,2011-03-11,"ATLANTA, GA",United States,Non-Fatal,,Boeing,757-232,2.0,Turbo Fan,,0.0,0.0,0.0,130.0,VMC,"The air traffic controllers failure to adhere to required radar identification procedures, which resulted in loss of separation between the departing Boeing 757 and three other airplanes.  Contributing to the incident was the pilots inadequate preflight checks, which resulted in the airplane departing with an inoperative transponder.",2011,Boeing,130.0,0.0,100.0
69697,20110317X14552,ENG11IA021,2011-03-17,"Pittsburgh, PA",United States,Non-Fatal,Minor,Bombardier Inc,DHC 8 402,2.0,Turbo Prop,,0.0,0.0,0.0,40.0,Unk,"the flight crew's delay in shutting down the left engine following an engine oil pressure master warning, which led to a hard rub inside the engine that served as an ignition point for a titanium fire. Contributing to the event was a PW150 No. 5 seal design vulnerability to titanium ignition that can occur with continued engine operation following an engine oil pressure loss event.",2011,Bombardier,40.0,0.0,100.0
69701,20110318X05118,CEN11IA234,2011-03-18,"Akron, OH",United States,Non-Fatal,Minor,Embraer,EMB-145XR,2.0,Turbo Fan,,0.0,0.0,0.0,46.0,VMC,The uncommanded left deflection of the airplane's nosewheel for reasons that could not be determined because postincident examination of the nosewheel steering system did not reveal any anomalies that would have precluded normal operation.,2011,Embraer,46.0,0.0,100.0
69749,20110328X80923,CEN11LA250,2011-03-26,"Kansas City, MO",United States,Non-Fatal,,Embraer,EMB-145LR,2.0,Turbo Fan,,0.0,0.0,1.0,51.0,VMC,An in-flight encounter with convectively induced turbulence associated with developing thunderstorms under the flight path during the airplane's climb to cruise flight.,2011,Embraer,52.0,0.0,98.07692307692307
69754,20110330X05145,OPS11IA428,2011-03-27,"Orlando, FL",United States,Non-Fatal,,Boeing,737-7H4,2.0,Turbo Fan,,0.0,0.0,0.0,145.0,VMC,The air traffic controllers application of inappropriate separation between the B737 and the Cirrus and their inappropriate use of airborne civilian aircraft for observation of other airborne aircraft. Contributing to the incident was the crew of the B737's execution of a clearance that resulted in operation near other aircraft.,2011,Boeing,145.0,0.0,100.0
69763,20110404X13555,CEN11IA264,2011-03-30,"Detroit, MI",United States,Non-Fatal,,Bombardier Inc,CL-600-2B19,2.0,Turbo Fan,,0.0,0.0,0.0,27.0,VMC,"The mechanic's incomplete securing of all the wheel well bin's fasteners, which resulted in separation of the bin from the airplane.",2011,Bombardier,27.0,0.0,100.0
69770,20110401X24330,DCA11MA039,2011-04-01,"Yuma, AZ",United States,Non-Fatal,Substantial,Boeing,737,2.0,Turbo Fan,,0.0,2.0,0.0,120.0,VMC,"the improper installation of the fuselage crown skin panel at the S-4L lap joint during the manufacturing process, which resulted in multiple site damage fatigue cracking and eventual failure of the lower skin panel. Contributing to the injuries was flight attendant A's incorrect assessment of his time of useful consciousness, which led to his failure to follow procedures requiring immediate donning of an oxygen mask when cabin pressure is lost.",2011,Boeing,122.0,1.639344262295082,98.36065573770492
69787,20110407X95823,DCA11FA072,2011-04-02,"Phoenix, AZ",United States,Non-Fatal,Substantial,Bombardier,CL600 2B19,2.0,Turbo Fan,,0.0,0.0,0.0,49.0,VMC,"inadequate clearance between the Integrated Drive Generator (IDG) power cables and hydraulic lines in the aft equipment bay that resulted in chaffing of the IDG power cables and hydraulic lines, arcing, and fire.",2011,Bombardier,49.0,0.0,100.0
69795,20110406X54825,CEN11IA270,2011-04-03,"Dubuque, IA",United States,Non-Fatal,Minor,Embraer,EMB-135KL,2.0,Turbo Jet,,0.0,0.0,0.0,47.0,VMC,The airport authorities' improper decision to deactivate the jet bridge braking system which created an unsafe condition by the gate agents not being able to stop the bridge from impacting the airplane during a wind gust.,2011,Embraer,47.0,0.0,100.0
69796,20110404X21934,DCA11IA040,2011-04-04,"New Orleans, LA",United States,Non-Fatal,Minor,Airbus,A320,2.0,Turbo Fan,,0.0,0.0,0.0,109.0,IMC,"the captain's failure to properly recognize and manage the abnormal condition, resulting in it escalating to an in-flight emergency.",2011,Airbus,109.0,0.0,100.0
69839,20110418X12310,WPR11LA203,2011-04-11,"Pacific Ocean,",United States,Non-Fatal,,Boeing,777-223,2.0,Turbo Fan,,0.0,2.0,2.0,227.0,VMC,An inadvertent encounter with convective-induced turbulence upon entering cumulonimbus clouds.,2011,Boeing,231.0,0.8658008658008658,98.26839826839827
69842,20110412X23201,DCA11LA045,2011-04-12,"Jamaica, NY",United States,Non-Fatal,Substantial,Airbus,A380,4.0,Turbo Fan,,0.0,0.0,0.0,576.0,VMC,the A380 flight crew's inability to identify that the wingtip path of their airplane would not maintain safe clearance from the CRJ701. Contributing to the accident was the failure of the CRJ701 flight crew to advise ATC that they were stopped with a portion of their airplane still extending onto the taxiway.,2011,Airbus,576.0,0.0,100.0
69869,20110417X11718,ERA11CA247,2011-04-17,"Cheltenham, MD",United States,Non-Fatal,,Boeing,757-2B7,2.0,Turbo Fan,,0.0,0.0,1.0,185.0,IMC,"The in-flight encounter with turbulence, resulting in an injury to a cabin attendant.",2011,Boeing,186.0,0.0,99.46236559139786
69906,20110426X03427,ERA11LA266,2011-04-25,"New York, NY",United States,Non-Fatal,,Airbus,A330-323,2.0,Turbo Fan,,0.0,0.0,1.0,275.0,VMC,"The flight attendant's inadvertent fall, which resulted in a serious injury.",2011,Airbus,276.0,0.0,99.63768115942028
69909,20110426X53639,DCA11IA047,2011-04-26,"Chicago, IL",United States,Non-Fatal,Minor,Boeing,737-7Q8,2.0,Turbo Fan,,0.0,0.0,0.0,139.0,IMC,"The flight crew's delayed deployment of the speedbrakes and thrust reversers, resulting in insufficient runway remaining to bring the airplane to a stop.

Contributing to the delay in deployment of these stopping devices was the flight crew's inadequate monitoring of the airplane's configuration after touchdown, likely as a result of being distracted by a perceived lack of wheel braking effectiveness.

Contributing to the incident was the flight crew's omission of the Before Landing checklist, which includes an item to verify speedbrake arming before touchdown, as a result of workload and operational distractions during the approach phase of flight.",2011,Boeing,139.0,0.0,100.0
69967,20110510X01046,DCA11FA053,2011-05-09,"Chillicothe, MO",United States,Non-Fatal,,Airbus,A319,2.0,Turbo Fan,,0.0,0.0,1.0,124.0,VMC,An inadvertent encounter with unforecast convective turbulence.,2011,Airbus,125.0,0.0,99.2
69982,20110513X41407,ERA11CA296,2011-05-12,"Atlanta, GA",United States,Non-Fatal,Minor,Boeing,737-732,2.0,Turbo Fan,,0.0,0.0,0.0,298.0,VMC,The B737-700 pilot did not maintain adequate wing tip clearance while taxiing around the stopped B-737-800.,2011,Boeing,298.0,0.0,100.0
70001,20110518X94643,OPS11IA552,2011-05-16,"CHICAGO, IL",United States,Non-Fatal,,Bombardier Inc,CL-600-2B19,2.0,Turbo Fan,,0.0,0.0,0.0,63.0,VMC,The air traffic controllers failure to adhere to runway separation requirements and his issuance of an improper takeoff clearance. Contributing to the incident was the controller's failure to recall that there was an arrival inbound to a crossing runway.,2011,Bombardier,63.0,0.0,100.0
70005,20110517X80339,CEN11IA341,2011-05-17,"Denver, CO",United States,Non-Fatal,Minor,Beech,1900D,2.0,Turbo Prop,,0.0,0.0,0.0,11.0,VMC,"The fatigue failure of the nose landing gear (NLG) end cap, which resulted in insufficient hydraulic pressure to secure the left main landing gear into the down and locked position. Contributing to the fatigue failure was the NLG end caps non-optimum grain direction and the inadequate inspection procedure performed during overhaul.",2011,Beech,11.0,0.0,100.0
70038,20110613X64905,ENG11IA032,2011-05-21,"Peach Springs, AZ",United States,Non-Fatal,,Dehavilland,DHC-6-300,2.0,Turbo Prop,,0.0,0.0,0.0,17.0,VMC,"A quality control failure in the Sungear, Inc. manufacturing and quality control process allowed  sungears with surface finishes of the root fillet radius of the spline that did not conform to the drawing specifications to be released. The surface finish defect caused fatigue cracks to initiate early in the part life.",2011,,17.0,0.0,100.0
70046,20110525X42547,DCA11CA060,2011-05-23,"Boone, NC",United States,Non-Fatal,,Boeing,757,2.0,Turbo Fan,,0.0,1.0,1.0,185.0,VMC,"Inadvertant encounter with convective turbulence while in cruise.  Contributing to the severity of the accident was the unrestrained status of the passenger, contrary to the lighted seat belt sign.",2011,Boeing,187.0,0.53475935828877,98.93048128342245
70089,20110701X11957,WPR11LA300,2011-05-31,"Los Angeles, CA",United States,Non-Fatal,Minor,Boeing,757-222,2.0,Turbo Fan,,0.0,0.0,0.0,190.0,VMC,"The ground crewmembers failure to follow proper procedures for removing a stuck or jammed tow bar, which resulted in a ground crew injury.",2011,Boeing,190.0,0.0,100.0
70098,20110603X52158,CEN11IA369,2011-06-03,"Chicago, IL",United States,Non-Fatal,,Embraer,EMB-145,2.0,Turbo Jet,,0.0,0.0,0.0,52.0,VMC,"The overheat and failure the brake during landing due to oxidation of the brake rotors, which went undetected by maintenance personnel. Contributing to the accident was maintenance personnels lack of familiarity with detailed brake oxidation inspection procedures.",2011,Embraer,52.0,0.0,100.0
70117,20110607X73034,ERA11CA327,2011-06-06,"Florence, SC",United States,Non-Fatal,,Bombardier Inc,CL600-2D24,2.0,Turbo Fan,,0.0,0.0,1.0,88.0,VMC,"The inadvertent in-flight encounter with turbulence, resulting in an injury to a cabin attendant.",2011,Bombardier,89.0,0.0,98.87640449438202
70120,20110607X83931,CEN11IA379,2011-06-07,"Milwaukee, WI",United States,Non-Fatal,Minor,Bombardier Inc,CL-600-2B19,2.0,Turbo Fan,,0.0,0.0,0.0,44.0,VMC,"The failure of the right main landing gear (MLG) to extend normally, which resulted from the combination of a slightly worn uplock pin, the operation of the hydraulic pumps below their specified operating pressures, and contamination within the landing gear hydraulic system. Also causal to the accident was the failure of the right MLG to extend manually using the alternate gear selector handle due to the improper use of lubricant within the alternate release handle assembly, which prevented the handle from remaining in its fully extended position.",2011,Bombardier,44.0,0.0,100.0
70149,20110621X32040,DCA11CA073,2011-06-12,"San Fransico, CA",United States,Non-Fatal,Substantial,Boeing,757-222,2.0,Turbo Jet,,0.0,0.0,0.0,190.0,VMC,The ramp personnel's failure to visually verify the position of the jetway before beginning the airplane pushback.,2011,Boeing,190.0,0.0,100.0
70158,20110615X31614,OPS11IA653,2011-06-14,"Fairbanks, AK",United States,Non-Fatal,,Beech,1900C,2.0,Turbo Prop,,0.0,0.0,0.0,12.0,,"Inadequate air traffic control actions that failed to establish and maintain required separation between the two airplanes.  Contributing to the incident was inexperience on the part of the local controller, inadequate oversight by the tower controller-in-charge, and deficient facility procedures and training.
",2011,Beech,12.0,0.0,100.0
70215,20110621X20741,ENG11IA035,2011-06-21,"Atlanta, GA",United States,Non-Fatal,,Boeing,757-232,2.0,Turbo Fan,,0.0,3.0,0.0,175.0,VMC,"Fuel leaking from the fuel flow transmitter that ignited on contact with the engines hot cases which resulted in an engine undercowl fire. The fuel leak resulted from the fuel flow transmitter end housing backing off from the main housing, creating a gap that allowed high pressure fuel to escape. Under certain assembly variances and operational load and temperature variations, the end housing joint may not be able to maintain the preload without eventually yielding, which results in the loosening of the joint and the resultant gap.",2011,Boeing,178.0,1.6853932584269662,98.31460674157303
70224,20110628X11855,ERA11CA367,2011-06-22,"Miami, FL",United States,Non-Fatal,,Mcdonnell Douglas,MD88,2.0,Turbo Fan,,0.0,0.0,1.0,126.0,VMC,"The in-flight encounter with convective turbulence, resulting in an injury to a cabin attendant.",2011,Mcdonnell Douglas,127.0,0.0,99.21259842519686
70368,20110711X41528,ANC11FA062,2011-07-10,"Port Alsworth, AK",United States,Non-Fatal,Substantial,Piper,PA-31-350,2.0,Reciprocating,,0.0,0.0,0.0,13.0,VMC,The pilots failure to see and avoid the approaching airplane. Contributing to the accident was that the pilots failure to listen to radio position reports from the other airplane on the common traffic advisory frequency and the absence of any forward-facing lights on his airplane.,2011,,13.0,0.0,100.0
70388,20110715X40120,DCA11CA084,2011-07-14,"Boston, MA",United States,Non-Fatal,Substantial,Bombardier,CL600 2D24,2.0,Turbo Fan,,0.0,0.0,0.0,291.0,VMC,the B767 flight crew's failure to maintain a safe clearance with the CRJ900 that was stopped on a taxiway.,2011,Bombardier,291.0,0.0,100.0
70579,20110809X50704,OPS11IA819,2011-08-08,"Chicago, IL",United States,Non-Fatal,,Embraer,EMB-135KL,2.0,Turbo Jet,,0.0,0.0,0.0,84.0,VMC,The improper air traffic control takeoff clearance issued by the local controller because of his lack of monitoring and lack of awareness of the conflicting arrival airplane.,2011,Embraer,84.0,0.0,100.0
70726,20110830X63935,ENG11IA047,2011-08-29,"Moline, IL",United States,Non-Fatal,Minor,Embraer,EMB145,2.0,Turbo Fan,,0.0,0.0,0.0,53.0,VMC,The uncommanded left deflection of the airplane's nose wheel likely due to seal deterioration and subsequent contamination within the Electrohydraulic Servo Valve (EHSV).  Contributing to the incident was the undersized condition of the filter plugs within the EHSV which likely caused the C2 orifice filter seal to extrude and deteriorate.,2011,Embraer,53.0,0.0,100.0
70742,20110902X54326,CEN11IA615,2011-09-01,"Baton Rouge, LA",United States,Non-Fatal,Minor,Bombardier Inc,CL-600-2B19,2.0,Turbo Fan,,0.0,0.0,0.0,53.0,VMC,"The improperly installed upper attachment bolt in the left main landing gear uplock assembly, which led to the failure of the left main landing gear to extend before landing. Contributing to the accident was maintenance personnel's lack of training on the installation and inspection of the uplock assembly.",2011,Bombardier,53.0,0.0,100.0
70793,20120224X42146,DCA11CA116,2011-09-06,"Cape Coral, FL",United States,Non-Fatal,,Boeing,737 7H4,2.0,Turbo Fan,,0.0,0.0,1.0,141.0,VMC,An encounter with convective turbulence during the descent.,2011,Boeing,142.0,0.0,99.29577464788733
70817,20111013X11758,DCA11WA110,2011-09-12,"Montauk, AO",United States,Non-Fatal,,Boeing,777,2.0,Turbo Fan,,0.0,0.0,2.0,272.0,,,2011,Boeing,274.0,0.0,99.27007299270073
70838,20110917X35742,CEN11IA649,2011-09-17,"Chicago, IL",United States,Non-Fatal,Minor,Airbus Industrie,A320-211,2.0,Turbo Fan,,0.0,0.0,0.0,140.0,VMC,The infiltration of moisture into the windshield heating layer that induced arcing in the heating system that subsequently cracked the windshield.,2011,Airbus,140.0,0.0,100.0
70894,20110927X91721,ENG11IA051,2011-09-26,"Denver, CO",United States,Non-Fatal,Minor,Boeing,757-222,2.0,Turbo Fan,,0.0,0.0,0.0,185.0,,"**This probable cause was modified on 4/5/2012. Please see the public docket for this accident to view the original probable cause.**


The initial damage to the fan blades was caused by the ingestion of a Red-Tailed Hawk that caused one or more fan blades to fracture, striking the fan case and causing it to bulge. The initial fan blade fragment release impacted and damaged other passing fan blades generating various sized blades fragments. Some of these blade fragments were propelled forward of the fan case by passing fan blades and were reingested, creating a cascading effect of collateral impact damage to the other fan blades, the fan case, and the inlet cowl.",2011,Boeing,185.0,0.0,100.0
70909,20110930X20857,ERA11CA511,2011-09-29,"Miami, FL",United States,Non-Fatal,,Boeing,737-823,2.0,Turbo Fan,,0.0,0.0,1.0,165.0,VMC,"The in-flight encounter with clear air turbulence, which resulted in an injury to a cabin attendant.",2011,Boeing,166.0,0.0,99.3975903614458
70952,20111018X03714,ERA12CA038,2011-10-07,"Atlanta, GA",United States,Non-Fatal,Substantial,Mcdonnell Douglas Aircraft Co,MD-88,2.0,Turbo Fan,,0.0,0.0,0.0,81.0,VMC,The tug driver's inadequate control of the tug while maneuvering the airplane during pushback.,2011,Mcdonnell Douglas,81.0,0.0,100.0
70961,20111011X01145,ENG12IA001,2011-10-10,"Atlanta, GA",United States,Non-Fatal,Minor,Boeing,757-251,2.0,Turbo Jet,,0.0,0.0,0.0,182.0,VMC,"
the return to service of overhauled airplane engine parts with undetected fatigue cracks, resulting in complete loss of engine power and uncontained engine failure. A contributing factor was the inadequate diffuser and HPT case inspection procedure.",2011,Boeing,182.0,0.0,100.0
71023,20111020X14740,ERA12CA044,2011-10-20,"New York, NY",United States,Non-Fatal,,Boeing,767-2B7,2.0,Turbo Jet,,0.0,0.0,1.0,215.0,IMC,"The passenger's lack of compliance with the illuminated seatbelt sign, which resulted in her injury during a turbulence encounter.",2011,Boeing,216.0,0.0,99.53703703703704
71033,20111024X74546,ENG12IA003,2011-10-23,"Detroit, MI",United States,Non-Fatal,Minor,Boeing,747-451,4.0,Turbo Jet,,0.0,0.0,0.0,394.0,,"The penetration of turbine blade fragments through the rear turbine case, which punctured the No. 4 bearing oil pressure supply tube, allowing misted oil to contact the hot engine case and ignite the undercowl fire.

Contributing to the incident was the installation of approved (but not preferred) stage 3 low pressure turbine outer transition duct segments with the riveted rear seal configuration and the failure of the engine design to comply with the engine debris containment requirements of 14 Code of Federal Regulations 33.13 and 33.75.",2011,Boeing,394.0,0.0,100.0
71098,20120224X25922,DCA12CA043,2011-11-10,"Minneapolis, MN",United States,Non-Fatal,Substantial,Airbus Industrie,A320 211,2.0,Turbo Fan,,0.0,0.0,0.0,150.0,Unk,"In-flight collision with birds during initial climb, which resulted in substantial damage to the aircraft.",2011,Airbus,150.0,0.0,100.0
71186,20111208X41332,WPR12LA057,2011-12-01,"Modesto, CA",United States,Non-Fatal,,Boeing,757-222,2.0,Turbo Jet,,0.0,0.0,1.0,151.0,VMC,"The flight's encounter with known severe turbulence associated with mountain wave activity, which resulted in a flight attendant sustaining a broken ankle.",2011,Boeing,152.0,0.0,99.3421052631579
