,Event.Id,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Report.Status,Manufacturer,Year
68526,20100714X50804,CEN10FA394,2010-07-13,"St. Ignace, MI",United States,Fatal,Substantial,Beech,58,2.0,Reciprocating,Personal,4.0,0.0,1.0,0.0,VMC,The pilot's failure to maintain aircraft control during takeoff for undetermined reasons.,Beech,2010
68529,20100714X01135,WPR10LA349,2010-07-14,"El Monte, CA",United States,Non-Fatal,Substantial,Cessna,310K,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,The pilots failure to maintain directional control during the takeoff ground roll.,Cessna,2010
68561,20100720X43639,ENG10IA041,2010-07-18,"Atlanta, GA",United States,Non-Fatal,Minor,Mcdonnell Douglas Aircraft Co,MD-88,2.0,Turbo Fan,,0.0,0.0,0.0,111.0,,The cause of the right wing landing light switch fire is undetermined.,Mcdonnell Douglas,2010
68613,20100727X42310,ERA10IA378,2010-07-26,"Hyannis, MA",United States,Non-Fatal,Minor,Cessna,402C,2.0,Reciprocating,,0.0,0.0,0.0,8.0,VMC,The pilot's failure to extend the landing gear prior to landing flare and touchdown.,Cessna,2010
68615,20100729X10458,ERA10CA382,2010-07-27,"New York, NY",United States,Non-Fatal,Substantial,Gulfstream,GIV,2.0,Turbo Fan,Executive/corporate,0.0,0.0,0.0,6.0,VMC,The flight crews failure to maintain adequate wing tip clearance from a light pole during taxi.,Gulfstream,2010
68620,20100727X65835,WPR10FA369,2010-07-27,"Oceanside, CA",United States,Fatal,Substantial,Beech,95 55,2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,The pilots failure to maintain directional control of the airplane following a loss of power in the right engine. The reason for the loss of power in the right engine could not be determined.,Beech,2010
68622,20100728X70427,CEN10FA443,2010-07-27,"Oshkosh, WI",United States,Non-Fatal,Substantial,Hawker Beechcraft,390,2.0,Turbo Fan,Business,0.0,0.0,2.0,0.0,VMC,"The pilot's decision not to advance the engines to takeoff power during the go-around, as stipulated by the airplane flight manual, which resulted in an aerodynamic stall at a low altitude.",Hawker,2010
68623,20100729X44254,ERA10IA384,2010-07-27,"San Juan, PR",United States,Non-Fatal,Minor,Cessna,402C,2.0,Reciprocating,,0.0,0.0,0.0,2.0,VMC,"The airplane manufacturers inadequate inspection procedures, resulting in the undetected fatigue cracking of the right upper barrel and trunnion assembly.",Cessna,2010
68650,20100831X62338,ENG10WA048,2010-07-30,"Pacific Ocean,",United States,,Minor,Boeing,747,4.0,Turbo Fan,,0.0,0.0,0.0,0.0,,,Boeing,2010
68682,20100806X53016,DCA10IA082,2010-08-04,"Chicago, IL",United States,Non-Fatal,Minor,Boeing,767-322,2.0,Turbo Fan,,0.0,6.0,0.0,184.0,VMC,"the brake fire after landing was caused by hydraulic fluid leaking on to hot brakes.   

",Boeing,2010
68684,20100809X84516,CEN10CA464,2010-08-04,"Vici, OK",United States,Non-Fatal,Substantial,Cessna,414,2.0,Reciprocating,Business,0.0,0.0,0.0,5.0,VMC,The pilot's failure to ensure adequate runway remaining during landing.,Cessna,2010
68695,20100807X23643,ERA10FA404,2010-08-07,"Saltsburg, PA",United States,Fatal,Substantial,Beech,58,2.0,Reciprocating,Instructional,2.0,0.0,0.0,0.0,VMC,"The pilots loss of control of the airplane during low-airspeed airwork and his failure to promptly recover the airplane from the aerodynamic stall, which resulted in a spin. Contributing to the accident were the pilot and certified flight instructors intentional operation of the airplane for the purpose of performing instructional airwork with only a throw-over control yoke installed and the pilots lack of recent flight experience in the airplane make and model. Contributing to the lack of accurate performance data (including the air minimum control airspeed) for the modified airplane was the lack of guidance by the Federal Aviation Administration for an installer of a supplemental type certificate (STC) modification to determine the interrelationship between all STCs incorporated into an aircraft.",Beech,2010
68722,20100811X20501,WPR10LA395,2010-08-10,"Salt Lake City, UT",United States,Non-Fatal,Substantial,Embraer,EMB-145XR,2.0,Turbo Fan,,0.0,0.0,0.0,50.0,VMC,An in-flight collision with a bird while on the downwind leg of the traffic pattern during a visual approach.,Embraer,2010
68784,20100823X93415,ERA10CA436,2010-08-19,"Bedford, PA",United States,Non-Fatal,Substantial,Cessna,414,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,IMC,"The pilot's failure to establish a proper climb gradient during a departure in instrument meteorological conditions, which resulted in a collision with trees.",Cessna,2010
68786,20100824X50048,CEN10LA494,2010-08-19,"LaGrange, IN",United States,Non-Fatal,Substantial,Cessna,310F,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,The pilot did not maintain altitude due to his distracted attention to a vibration of unknown origin.,Cessna,2010
68810,20100824X03440,CEN10FA493,2010-08-23,"Calhan, CO",United States,Fatal,Substantial,Cessna,310C,2.0,Reciprocating,Instructional,2.0,0.0,0.0,0.0,VMC,The pilots'failure to maintain control of the airplane which resulted in an inadvertent stall and spin.,Cessna,2010
68831,20100827X20401,WPR10IA430,2010-08-26,"Sacramento, CA",United States,Non-Fatal,Minor,Airbus,A320-232,2.0,Turbo Fan,,0.0,7.0,0.0,84.0,VMC,"The first officers inadvertent activation of the parking brake in flight, which led to the airplane abruptly stopping and all four of its main landing gear tires deflating, and his use of a nonstandard procedure to cancel the airplane's monitoring alert system.",Airbus,2010
68887,20100906X30626,WPR10FA448,2010-09-02,"Redwood City, CA",United States,Fatal,Substantial,Beech,65,2.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,VMC,"A loss of power in the right engine for undetermined reasons and the pilots subsequent failure to maintain adequate airspeed, which resulted in a loss of control. Contributing to the loss of control was the regulatory certification basis of the airplane that does not require airspeed indicator markings that are critical to maintaining airplane control with one engine inoperative.",Beech,2010
68906,20100916X80055,CEN10CA540,2010-09-05,"Colorado Springs, CO",United States,Non-Fatal,Substantial,Beech,E-90,2.0,Turbo Prop,Personal,0.0,0.0,0.0,4.0,VMC,The pilots failure to ensure that the airplanes parking brake was properly set before diverting his attention to other tasks.,Beech,2010
68931,20100912X91459,CEN10IA535,2010-09-10,"Brenham, TX",United States,Non-Fatal,Minor,Embraer,500,2.0,Turbo Fan,Personal,0.0,0.0,0.0,2.0,VMC,The pilots decision to depart with a known failed brake control unit.,Embraer,2010
68957,20100916X63553,ANC10CA093,2010-09-15,"Nome, AK",United States,Non-Fatal,Substantial,Cessna,T310R,2.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,"The pilot's failure to maintain clearance from terrain during a special VFR approach, resulting in a collision with terrain.",Cessna,2010
68973,20100918X12115,ERA10LA485,2010-09-18,"Rainelle, WV",United States,Non-Fatal,Substantial,Beech,58,2.0,Reciprocating,,0.0,5.0,0.0,0.0,VMC,"The improper rigging of the fuel selector by maintenance personnel, which resulted in a total loss of engine power.",Beech,2010
68979,20100928X10735,CEN10LA567,2010-09-18,"Denton, TX",United States,Non-Fatal,Substantial,Cessna,320,2.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,The failure of the landing gear push-pull rod.,Cessna,2010
69033,20100927X70141,CEN10LA564,2010-09-26,"Boerne Stage, TX",United States,Non-Fatal,Substantial,Cessna,310K,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,"The pilots failure to ensure that the landing gear was extended prior to landing, resulting in a landing on the partially extended landing gear.",Cessna,2010
69035,20100928X12406,ENG10IA053,2010-09-26,"John F. Kennedy International Airport, NY",United States,Non-Fatal,Minor,Bombardier,CL600 2D24,2.0,Turbo Jet,,0.0,0.0,0.0,4.0,VMC,The probable cause of the incident was the restriction of the right main landing gear door against the fuselage wheel well body fairing which prevented the extension of the right main landing gear.,Bombardier,2010
69039,20100928X90000,WPR10LA476,2010-09-28,"Great Falls, MT",United States,Non-Fatal,Substantial,Cessna,310R,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,The uncommanded retraction of the right main landing gear during taxi due to the failure of the landing gear extension system to move the right main gear upper side link into the locked position for undetermined reasons.,Cessna,2010
69040,20100930X00358,ENG10IA055,2010-09-28,"Milwaukee, WI",United States,Non-Fatal,Minor,Bombardier,CL600 2B19,2.0,Turbo Jet,,0.0,0.0,0.0,39.0,VMC,The failure of the left main landing gear (MLG) to extend normally and manually for reasons that could not be conclusively determined.,Bombardier,2010
69046,20101004X85003,WPR10IA482,2010-09-29,"Idaho Falls, ID",United States,Non-Fatal,Minor,Beech,F90,2.0,Turbo Prop,Personal,0.0,0.0,0.0,1.0,VMC,The partial retraction/collapse of the main landing gear during the landing roll for undetermined reasons.,Beech,2010
69054,20101001X13003,ERA11FA001,2010-10-01,"Manteo, NC",United States,Non-Fatal,Substantial,Cessna,550,2.0,Turbo Jet,Executive/corporate,0.0,7.0,0.0,0.0,IMC,"The pilot-in-command's failure to maintain proper airspeed and his failure to initiate a go-around, which resulted in the airplane touching down too fast on a short, wet runway and a subsequent runway overrun. Contributing to the accident was the copilot's failure to adequately monitor the approach and call for a go around and the flight crew's lack of proper crew resource management.",Cessna,2010
69055,20101004X11133,ERA11IA006,2010-10-01,"Teterboro, NJ",United States,Non-Fatal,Minor,Gulfstream Aerospace,G-IV,2.0,Turbo Fan,Executive/corporate,0.0,0.0,0.0,11.0,IMC,"The pilot-in-command's failure to attain the proper touchdown point while landing with a gusting crosswind and failure to initiate a go-around, which resulted in a landing more than halfway down the runway and a subsequent runway overrun. Contributing to the incident was the failure of either pilot to call for a go-around when the airplane was at Vref plus 15 at 50 feet above the runway or once they had floated well beyond the touchdown zone of the runway.",Gulfstream,2010
69060,20101004X44844,CEN11CA003,2010-10-01,"St. Johns, MI",United States,Non-Fatal,Substantial,Cessna,310J,2.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,The failure by the pilot to attain/maintain a climb rate for undetermined reasons during a go-around.,Cessna,2010
69072,20101003X04946,WPR11FA002,2010-10-03,"Avalon, CA",United States,Non-Fatal,Substantial,Cessna,310,2.0,Reciprocating,Personal,0.0,2.0,1.0,0.0,IMC,"The pilot's improper setting of the left engine fuel selector valve, which resulted in fuel starvation of the left engine immediately after takeoff. Contributing to the accident was the pilot's decision to try to depart ahead of developing weather, which resulted in his hastened departure procedures and likely led to his failure to recognize the incorrect fuel selector positioning.",Cessna,2010
69139,20101019X33258,WPR11IA019,2010-10-18,"Phoenix, AZ",United States,Non-Fatal,Minor,Bombardier Inc,CL-600-2B19,2.0,Turbo Fan,,0.0,0.0,0.0,53.0,VMC,The overextension of the main cabin door due to difficulty opening the door because the power-assist motor cable was lodged within the main cabin door assembly.,Bombardier,2010
69140,20101019X50439,ANC11LA004,2010-10-18,"Sitka, AK",United States,Non-Fatal,Substantial,Beech,1900C,2.0,Turbo Prop,,0.0,0.0,0.0,3.0,VMC,A lightning strike which resulted in substantial damage to the elevator.,Beech,2010
69141,20101019X71234,CEN11TA027,2010-10-18,"Palestine, TX",United States,Non-Fatal,Substantial,Beech,A100,2.0,Turbo Prop,Public Aircraft,0.0,0.0,0.0,5.0,VMC,An in-flight collision with a flock of birds while the airplane was descending through a cloud layer.,Beech,2010
69157,20101026X44534,CEN11FA040,2010-10-21,"Clarion, IA",United States,Fatal,Destroyed,Beech,95-B55 (T42A),2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,The pilot's failure to maintain control of the airplane. Contributing to the accident was the loss of left engine power for undetermined reasons.,Beech,2010
69163,20101024X70145,WPR11CA026,2010-10-23,"Camp Verde, AZ",United States,Non-Fatal,Substantial,Cessna,340A,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,"The pilot's misjudged approach and failure to attain the correct touchdown point, which resulted in a runway overrun.",Cessna,2010
69169,20101025X62111,WPR11FA029,2010-10-25,"Morton, WA",United States,Fatal,Substantial,Cessna,340A,2.0,Reciprocating,Business,3.0,0.0,0.0,0.0,IMC,"The pilots failure to arrest the excessive rate of turn into the failed engine, which resulted in a loss of control and subsequent impact with terrain. Contributing to the accident was a partial loss of engine power for reasons that could not be determined because postaccident examination did not reveal any mechanical malfunctions or failures that would have precluded normal operation.",Cessna,2010
69172,20101027X04916,DCA11FA004,2010-10-27,"Miami, FL",United States,Non-Fatal,Substantial,Boeing,757-223,2.0,Turbo Fan,,0.0,0.0,0.0,160.0,,Fatigue failure of the fuselage crown skin due to incorrect manufacturing of the crown skin panel that resulted in a skin thickness less than the manufacturer-specified thickness.,Boeing,2010
69183,20101031X30917,ERA11LA044,2010-10-29,"Fort Lauderdale, FL",United States,Non-Fatal,Substantial,Boeing,737,2.0,Turbo Fan,,0.0,0.0,0.0,142.0,VMC,"The ground service vehicle driver's depressing of the accelerator rather than the brake pedal, resulting in a collision with the airplane.",Boeing,2010
69201,20101103X34855,ERA11CA046,2010-11-02,"Pittsburgh, PA",United States,Non-Fatal,Substantial,Bombardier Inc,CL-600-2B19,2.0,Turbo Fan,,0.0,0.0,0.0,41.0,VMC,The ground crews failure to detach the air-starter hose from the airplane before moving the cart away resulting in structural damage to a skin panel.,Bombardier,2010
69202,20101103X44221,CEN11LA051,2010-11-02,"Chicago, IL",United States,Non-Fatal,Substantial,Bombardier Inc,CL-600-2B19,2.0,Turbo Fan,,0.0,0.0,0.0,37.0,VMC,"The pickup truck drivers failure to follow airport and company policies regarding ground vehicle operations, which allowed for the unattended truck to collide with the airplane. Contributing to the accident were the truck's misadjusted shift lever and disconnected parking brake.",Bombardier,2010
69224,20101108X84714,WPR11LA042,2010-11-08,"Los Angeles, CA",United States,Non-Fatal,Substantial,Bombardier Inc,DHC-8-402,2.0,Turbo Prop,,0.0,0.0,0.0,77.0,VMC,An in-flight collision with a bird.,Bombardier,2010
69253,20101116X51712,CEN11LA072,2010-11-15,"Minneapolis, MN",United States,Non-Fatal,Substantial,Embraer,ERJ 170-200 LR,2.0,Turbo Fan,,0.0,0.0,0.0,80.0,VMC,The in-flight collision with a flock of birds during climb.,Embraer,2010
69261,20101118X74618,ERA11GA066,2010-11-18,"Avon Park, FL",United States,Fatal,Substantial,Cessna,M337B,2.0,Reciprocating,Public Aircraft,3.0,0.0,0.0,0.0,IMC,The pilot's inadvertent encounter with an unexpected intense rain shower with severe turbulence at night.,Cessna,2010
69268,20101202X23228,ERA11CA076,2010-11-19,"Williston, FL",United States,Non-Fatal,Substantial,Beech,95-C55,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,The pilot's failure to properly configure and confirm the position of the landing gear prior to landing.,Beech,2010
69278,20101124X20432,WPR11LA058,2010-11-24,"Salt Lake City, UT",United States,Non-Fatal,Substantial,Bombardier Inc,CL-600-2C10,2.0,Turbo Fan,,0.0,0.0,0.0,69.0,IMC,The tug drivers loss of airplane control during pushback due to a loss of traction in slippery conditions on the ramp. Contributing to the accident was the ground crews and airline operators inadequate guidance with regard to pushback procedures during low ground traction conditions with an inoperative airplane auxiliary power unit.,Bombardier,2010
69310,20101209X94036,CEN11LA101,2010-12-03,"Claremore, OK",United States,Non-Fatal,Substantial,Beech,95-C55,2.0,Reciprocating,Personal,0.0,1.0,1.0,0.0,VMC,A loss of engine power on both engines for undetermined reasons.,Beech,2010
69317,20101208X40921,CEN11LA099,2010-12-05,"Chicago, IL",United States,Non-Fatal,Substantial,Bombardier Inc,CL-600-2C10,2.0,Turbo Fan,,0.0,0.0,0.0,37.0,VMC,The Boeing 747 first officers failure to maintain clearance from another airplane while taxiing due to his inadequate judgment of the distance between the airplanes.,Bombardier,2010
69336,20101220X51922,CEN11LA120,2010-12-10,"Minneapolis, MN",United States,Non-Fatal,Substantial,Beech,300,2.0,Turbo Prop,Personal,0.0,0.0,0.0,2.0,VMC,The pilot's failure to follow the aircraft checklist in locking the cabin door prior to departure which resulted in its in-flight separation.,Beech,2010
69351,20101216X74637,CEN11FA110,2010-12-15,"Edwards, CO",United States,Fatal,Substantial,Beech,B60,2.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,"Controlled flight into terrain, while on an instrument approach in instrument meteorological conditions, for undetermined reasons.",Beech,2010
69354,20101217X05755,CEN11CA113,2010-12-17,"Ozark, AR",United States,Non-Fatal,Substantial,Beech,95-C55,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,The pilot's failure to extend the landing gear prior to landing.,Beech,2010
69357,20101220X14621,DCA11CA014,2010-12-18,"Philadelphia, PA",United States,Non-Fatal,Substantial,Boeing,737-7H4,2.0,Turbo Fan,,0.0,0.0,0.0,222.0,VMC,the failure of the ground operations personnel to maintain awareness of the relative position of the two airplanes.,Boeing,2010
69365,20101227X00333,CEN11CA128,2010-12-21,"Madison, WI",United States,Non-Fatal,Substantial,Cessna,340A,2.0,Reciprocating,Positioning,0.0,0.0,0.0,1.0,IMC,"The pilot's failure to maintain adequate airspeed during the approach, which resulted in an aerodynamic stall. Contributing to the accident was the pilot's failure to check the de-ice fluid level prior to takeoff, which resulted in the failure of the de-ice system to clear the windshield of ice.",Cessna,2010
69402,20110103X01024,ERA11FA102,2011-01-01,"Orange, MA",United States,Fatal,Substantial,Cessna,310F,2.0,Reciprocating,Personal,1.0,1.0,0.0,0.0,VMC,The pilot did not maintain separation from trees during landing. Contributing to the accident was the pilots inadequate preflight planning and lack of recent night flight experience.,Cessna,2011
69410,20110104X53752,ANC11LA007,2011-01-03,"New Stuyahok, AK",United States,Non-Fatal,Substantial,Beech,E18S-9700,2.0,Reciprocating,,0.0,0.0,0.0,1.0,VMC,"The pilot's misjudgment of the runway surface condition, resulting in an aborted landing and collision with rising terrain during the ensuing takeoff attempt.",Beech,2011
69412,20110502X93814,DCA11FA050,2011-01-03,"Los Angeles, CA",United States,Non-Fatal,Substantial,Boeing,737-823,2.0,Turbo Fan,,0.0,0.0,0.0,165.0,VMC,"the early rotation of the airplane to an angle at which the fuselage contacted the runway.  

Contributing to early rotation was the Captains reaction to the erroneous V1 automated callout, likely assuming that the airplane was at or close to the correct Vr at the same time.  

The erroneous automated callout was likely due to a keystroke entry error by the FO when manually entering takeoff data for a newly assigned departure runway.",Boeing,2011
69419,20110105X11652,ERA11FA107,2011-01-06,"Birmingham, AL",United States,Fatal,Substantial,Beech,58P,2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,The pilot's failure to maintain control of the airplane during an instrument approach due to spatial disorientation.,Beech,2011
69420,20110106X45446,CEN11FA144,2011-01-06,"Springfield, IL",United States,Non-Fatal,Substantial,Gates Learjet Corp.,35A,2.0,Turbo Fan,,0.0,2.0,0.0,4.0,VMC,"The pilots decision to conduct an instrument approach in icing conditions without the anti-ice system activated, contrary to the airplane flight manual guidance, which resulted in an inadvertent aerodynamic stall due to an in-flight accumulation of airframe icing.",Learjet,2011
69430,20110110X22716,WPR11LA092,2011-01-09,"Lancaster, CA",United States,Non-Fatal,Substantial,Cessna,310C,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,The pilot did not maintain an appropriate descent profile during the approach. Contributing to the accident was that the pilot did not follow checklist procedures.,Cessna,2011
69458,20110118X45001,ERA11LA117,2011-01-17,"Charlotte Amalie,",United States,Non-Fatal,Substantial,Convair,340-71,2.0,Reciprocating,Positioning,0.0,0.0,0.0,2.0,VMC,"The captains decision to continue the flight with the left engine backfiring, resulting in an engine fire shortly after takeoff. Contributing to the accident were the captains decision to continue the flight following a report of black smoke trailing the airplane and in-flight fire damage to the left wheel brake system, resulting in a loss of directional control during an emergency landing.",Convair,2011
69514,20110207X84026,OPS11IA271,2011-02-01,"Dayton, OH",United States,Non-Fatal,Minor,Embraer,EMB-145LR,2.0,Turbo Fan,,0.0,0.0,0.0,32.0,VMC,"The pilots' lack of consideration for developing and known weather conditions en route to and at the destination airport, resulting in a runway excursion and subsequent incursion.",Embraer,2011
69517,20110204X62230,CEN11LA173,2011-02-03,"Albuquerque, NM",United States,Non-Fatal,Substantial,Cessna,402,2.0,Reciprocating,,0.0,0.0,0.0,1.0,VMC,The failure of the landing gear system for undetermined reasons.,Cessna,2011
69529,20110207X01231,WPR11CA123,2011-02-06,"Van Nuys, CA",United States,Non-Fatal,Substantial,Beech,95-B55 (T42A),2.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,"The pilot's failure to turn off the engine magnetos and properly secure the airplane prior to rotating the propeller by hand, resulting in inadvertent movement of the airplane and collision with a building.",Beech,2011
69534,20110207X62442,WPR11FA125,2011-02-07,"San Bernardino, CA",United States,Non-Fatal,Substantial,Beech,95-B55 (T42A),2.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,"The pilot did not recognize the loss of power in the right engine and did not execute the proper procedures for a go-around with one engine inoperative, likely due to increased workload. Contributing to the accident was the pilot's improper in-flight fuel management, which resulted in fuel starvation of the right engine.",Beech,2011
69541,20110209X55126,ENG11IA016,2011-02-09,"Minneapolis, MN",United States,Non-Fatal,Minor,Boeing,757-2Q8,2.0,Turbo Fan,,0.0,0.0,0.0,2.0,VMC,"the failure of the right engine's fuel control unit to operate correctly when the fuel metering valve became frozen in the full open position because of corrosion on the fuel metering valve slide and sleeve, which caused the engine to be overfueled during engine start and resulted in a tailpipe fire.",Boeing,2011
69542,20110209X73116,CEN11IA180,2011-02-09,"Evansville, IN",United States,Non-Fatal,Minor,Hawker Beechcraft Corp.,C90,2.0,Turbo Prop,Instructional,0.0,0.0,0.0,4.0,VMC,The peel chip-type failure of the co-pilot's window during initial climb.,Hawker,2011
69566,20110216X44712,CEN11FA193,2011-02-14,"Appleton, WI",United States,Non-Fatal,Substantial,Gulfstream Aerospace Corp.,GV-SP,2.0,Turbo Fan,Flight Test,0.0,0.0,0.0,3.0,VMC,"The pilot flying's (PF) decision to land on a shorter-than-recommended runway with a known left hydraulic system failure rather than go around as suggested by the pilot-not-flying, his failure to immediately apply emergency brakes following the detection of the lack of normal brakes, and his attempt to go around late in the landing roll with insufficient runway remaining. Contributing to the accident was the nose landing gear swivel assembly failure, the lack of a hydraulic fuse before this critical failure point, and the design of the swivel using two similar alloys with a propensity to adhere to each other when rubbed together. Also contributing to the accident was the lack of a disciplined cockpit environment.",Gulfstream,2011
69570,20110215X63435,CEN11LA192,2011-02-15,"Des Moines, IA",United States,Non-Fatal,Substantial,Beech,E-90,2.0,Turbo Prop,Flight Test,0.0,0.0,0.0,2.0,VMC,The improper installation of the right aileron by maintenance personnel.,Beech,2011
69592,20110222X20316,CEN11IA198,2011-02-21,"Southlake, TX",United States,Non-Fatal,Minor,Boeing,737-823,2.0,Turbo Fan,,0.0,0.0,0.0,145.0,VMC,The tractor drivers failure to confirm that the tow bar head/handle was secured correctly to the airplane.,Boeing,2011
69595,20110223X51944,CEN11CA199,2011-02-22,"Romeoville, IL",United States,Non-Fatal,Substantial,Cessna,310Q,2.0,Reciprocating,Positioning,0.0,0.0,0.0,1.0,VMC,The pilot's failure to maintain adequate airspeed during the approach/landing to compensate for the ice accumulated on the airframe which resulted in a hard landing.,Cessna,2011
69596,20110228X93029,CEN11CA208,2011-02-22,"Prospect Heights, IL",United States,Non-Fatal,Substantial,Beech,58,2.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,"The pilot's inadequate flare, which resulted in a hard landing.",Beech,2011
69607,20110224X95106,CEN11FA201,2011-02-24,"Connersville, IN",United States,Fatal,Substantial,Cessna,421C,2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,The pilot did not maintain control of the airplane while making a low-altitude turn during dark night conditions.,Cessna,2011
69621,20110227X11323,CEN11LA207,2011-02-27,"Angleton, TX",United States,Non-Fatal,Destroyed,Cessna,310K,2.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,IMC,The pilot's failure to maintain control of the airplane during a night instrument approach.,Cessna,2011
69644,20110312X24318,CEN11LA223,2011-03-04,"Houston, TX",United States,Non-Fatal,Substantial,Learjet,25,2.0,Turbo Jet,,0.0,0.0,0.0,6.0,IMC,"The flying pilot's failure to attain the proper touchdown point in low-visibility conditions, which resulted in a runway overrun. Contributing to the accident was mission pressure to land at that airport.",Learjet,2011
69671,20110311X65739,ERA11FA185,2011-03-11,"Smyrna, TN",United States,Fatal,Substantial,Cessna,310R,2.0,Reciprocating,Flight Test,1.0,0.0,0.0,0.0,VMC,The pilot's improper response to a known autopilot pitch divergence anomaly. Contributing to the accident was the pilot's decision to perform a test flight on a system for which he lacked a complete working knowledge.,Cessna,2011
69685,20110317X51618,ERA11LA191,2011-03-14,"New York, NY",United States,Non-Fatal,Substantial,Cessna,414,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,"The improper rigging of the right main landing gear, which resulted in ovestress fractures of a bolt and aft lug on the trunnion assembly.",Cessna,2011
69692,20110316X63443,WPR11FA166,2011-03-16,"Long Beach, CA",United States,Fatal,Substantial,Beech,200,2.0,Turbo Prop,Personal,5.0,0.0,1.0,0.0,VMC,"The pilot's failure to maintain directional control of the airplane during a momentary interruption of power from the left engine during the initial takeoff climb. Contributing to the accident was the power interruption due to water contamination of the fuel, which was likely not drained from the fuel tanks by the pilot during preflight inspection as required in the POH.",Beech,2011
69697,20110317X14552,ENG11IA021,2011-03-17,"Pittsburgh, PA",United States,Non-Fatal,Minor,Bombardier Inc,DHC 8 402,2.0,Turbo Prop,,0.0,0.0,0.0,40.0,Unk,"the flight crew's delay in shutting down the left engine following an engine oil pressure master warning, which led to a hard rub inside the engine that served as an ignition point for a titanium fire. Contributing to the event was a PW150 No. 5 seal design vulnerability to titanium ignition that can occur with continued engine operation following an engine oil pressure loss event.",Bombardier,2011
69701,20110318X05118,CEN11IA234,2011-03-18,"Akron, OH",United States,Non-Fatal,Minor,Embraer,EMB-145XR,2.0,Turbo Fan,,0.0,0.0,0.0,46.0,VMC,The uncommanded left deflection of the airplane's nosewheel for reasons that could not be determined because postincident examination of the nosewheel steering system did not reveal any anomalies that would have precluded normal operation.,Embraer,2011
69703,20110319X25204,WPR11FA170,2011-03-19,"Butte, MT",United States,Fatal,Substantial,Cessna,T310R,2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,The pilot's loss of airplane control during the missed approach for undetermined reasons. Contributing to the accident was the rapid and unforecast deterioration of the weather conditions to below the landing minimum and the pilot's decision to attempt the approach despite his knowledge of those conditions.,Cessna,2011
69731,20110323X24235,DCA11FA035,2011-03-23,"Albuquerque, NM",United States,Non-Fatal,Substantial,Airbus,F4-622R,2.0,Turbo Fan,,0.0,0.0,0.0,2.0,VMC,The captain's failure to control the airplane pitch-up induced by ground spoiler deployment during the go-around.,Airbus,2011
69734,20110407X35115,CEN11LA273,2011-03-23,"Aberdeen, SD",United States,Non-Fatal,Substantial,Cessna,414A,2.0,Reciprocating,,0.0,0.0,0.0,4.0,IMC,"The pilot's inadequate compensation for gusty crosswinds during takeoff, which resulted in a loss of directional control.",Cessna,2011
69740,20110404X65832,CEN11LA265,2011-03-24,"Sellersburg, IN",United States,Non-Fatal,Substantial,Dassault-Breguet,Falcon 10,2.0,Turbo Fan,Business,0.0,0.0,0.0,3.0,VMC,The pilot's failure to maintain control of the airplane during landing in strong and gusty wind conditions.,Dassault,2011
69755,20110328X81528,CEN11LA251,2011-03-28,"Canadian, TX",United States,Non-Fatal,Substantial,Cessna,425,2.0,Turbo Prop,Business,0.0,4.0,0.0,3.0,IMC,"The pilots continuation of the approach with excessive airspeed, which resulted in a hard landing and a loss of directional control.",Cessna,2011
69761,20110330X44100,ERA11FA218,2011-03-30,"Pikeville, KY",United States,Fatal,Substantial,Cessna,310R,2.0,Reciprocating,,2.0,0.0,0.0,0.0,IMC,"The pilot's flight below the published minimum descent altitude in instrument meteorological conditions, which resulted in a collision with trees and the ground. Contributing to the accident was the pilot's use of nighttime cold medication at doses above therapeutic levels that may have resulted in impairment and posed a hazard to flight safety.",Cessna,2011
